0,team_name,stadium_name,stadium_seating_capacity,stadium_location,stadium_playing_surface,team_league,stadium_date_opened,stadium_dist_ctrfield,stadium_typology,stadium_roof_type,,
1,Arizona Diamondbacks,Chase Field,48686,"Phoenix, Arizona",Grass,National,1998,407 feet (124 m),Retro Modern,Retractable,,    
2,Atlanta Braves,SunTrust Park,41149,"Cumberland, Georgia",Grass,National,2017,400 feet (122 m),Retro Modern,Open,,
3,Baltimore Orioles,Oriole Park at Camden Yards,45971,"Baltimore, Maryland",Grass,American,1992,410 feet (125 m),Retro Classic,Open,,
4,Boston Red Sox ,Fenway Park,37731,"Boston, Massachusetts",Grass,American,1912,420 feet (128 m),Jewel Box,Open,,
5,Chicago Cubs,Wrigley Field,41268,"Chicago, Illinois",Grass,National,1914,400 feet (122 m),Jewel Box,Open,,
6,Chicago White Sox,Guaranteed Rate Field,40615,"Chicago, Illinois",Grass,American,1991,400 feet (122 m),Retro Classic,Open,,
7,Cincinnati Reds,Great American Ball Park,42319,"Cincinnati, Ohio",Grass,National,2003,404 feet (123 m),Retro Modern,Open,,
8,Cleveland Indians,Progressive Field,35051,"Cleveland, Ohio",Grass,American,1994,410 feet (125 m),Retro Modern,Open,,
9,Colorado Rockies,Coors Field,50398,"Denver, Colorado",Grass,National,1995,415 feet (126 m),Retro Classic,Open,,
10,Detroit Tigers,Comerica Park,41299,"Detroit, Michigan",Grass,American,2000,420 feet (128 m),Retro Classic,Open,,
11,Houston Astros,Minute Maid Park,41168,"Houston, Texas",Grass,American,2000,409 feet (125 m),Retro Modern,Retractable,,
12,Kansas City Royals,Kauffman Stadium,37903,"Kansas City, Missouri",Grass,American,1973,410 feet (125 m),Retro Modern,Open,,
13,Los Angeles Angels,Angel Stadium,45477,"Anaheim, California",Grass,American,1966,396 feet (121 m),Retro Modern,Open,,
14,Los Angeles Dodgers ,Dodger Stadium,56000,"Los Angeles, California",Grass,National,1962,400 feet (122 m),Modern,Open,,
15,Miami Marlins,Marlins Park,36742,"Miami, Florida",Grass,National,2012,407 feet (124 m),Contemporary ,Retractable,,
16,Milwaukee Brewers,Miller Park,41900,"Milwaukee, Wisconsin",Grass,National,2001,400 feet (122 m),Retro Modern,Retractable,,
17,Minnesota Twins,Target Field,38885,"Minneapolis, Minnesota",Grass,American,2010,404 feet (123 m),Retro Modern,Open,,
18,New York Mets,Citi Field,41922,"Queens, New York",Grass,National,2009,408 feet (124 m),Retro Classic,Open,,
19,New York Yankees,Yankee Stadium,47422,"Bronx, New York",Grass,American,2009,408 feet (124 m),Retro Classic,Open,,
20,Oakland Athletics,Oakland–Alameda County Coliseum ,47170,"Oakland, California",Grass,American,1966,400 feet (122 m),Multipurpose,Open,,
21,Philadelphia Phillies,Citizens Bank Park,43651,"Philadelphia, Pennsylvania",Grass,National,2004,401 feet (122 m),Retro Classic,Open,,
22,Pittsburgh Pirates,PNC Park,38362,"Pittsburgh, Pennsylvania",Grass,National,2001,399 feet (122 m),Retro Classic,Open,,
23,San Diego Padres,Petco Park,40209,"San Diego, California",Grass,National,2004,396 feet (121 m),Retro Modern,Open,,
24,San Francisco Giants,Oracle Park,41915,"San Francisco, California",Grass,National,2000,399 feet (122 m),Retro Classic,Open,,
25,Seattle Mariners,Safeco Field,47943,"Seattle, Washington",Grass,American,1999,401 feet (122 m),Retro Modern,Retractable,,
26,St. Louis Cardinals,Busch Stadium,45529,"St. Louis, Missouri",Grass,National,2006,400 feet (122 m),Retro Classic,Open,,
27,Tampa Bay Rays,Tropicana Field,31042,"St. Petersburg, Florida",AstroTurf GameDay Grass,American,1990,404 feet (123 m),Multipurpose,Fixed,,
28,Texas Rangers,Globe Life Park in Arlington,48114,"Arlington, Texas",Grass,American,1994,400 feet (122 m),Retro Classic,Open,,
29,Toronto Blue Jays,Rogers Centre,49282,"Toronto, Ontario",AstroTurf GameDay Grass 3D,American,1989,400 feet (122 m),Multipurpose,Retractable,,
,Washington Nationals,Nationals Park,41339,"Washington, D.C.",Grass,National,2008,402 feet (123 m),Retro Modern,Open,,
